click_par,channel,app_name,page_name,user_id
{"_portal_wayBillClickTrace_h5":377},home,portal-app,resident_人工调度台,10043039
{"_portal_tableListTrace_h5":225},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":397},home,portal-app,resident_人工调度台,10060069
{"_portal_tableListTrace_h5":199},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":398},home,portal-app,resident_人工调度台,10066167
{"_portal_tableListTrace_h5":275},home,portal-app,resident_人工调度台,10066167
{"_portal_wayBillClickTrace_h5":1223},home,portal-app,resident_人工调度台,10062894
{"_portal_tableListTrace_h5":421},home,portal-app,resident_人工调度台,10064203
{"_portal_tableListTrace_h5":309},home,portal-app,resident_人工调度台,10066167
{"_portal_tableListTrace_h5":431},home,portal-app,resident_人工调度台,10043070
{"_portal_tableListTrace_h5":278},home,portal-app,resident_人工调度台,10060549
{"_portal_tableListTrace_h5":1191},home,portal-app,resident_人工调度台,10062468
{"_portal_tableListTrace_h5":193},home,portal-app,resident_人工调度台,10059375
{"_portal_wayBillClickTrace_h5":316},home,portal-app,resident_人工调度台,10060069
{"_portal_tableListTrace_h5":350},home,portal-app,resident_人工调度台,10043070
{"_portal_tableListTrace_h5":502},home,portal-app,resident_人工调度台,10046504
{"_portal_tableListTrace_h5":333},home,portal-app,resident_人工调度台,10064203
{"_portal_tableListTrace_h5":319},home,portal-app,resident_人工调度台,10046504
{"_portal_tableListTrace_h5":199},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":354},home,portal-app,resident_人工调度台,10043070
{"_portal_tableListTrace_h5":319},home,portal-app,resident_人工调度台,10064203
{"_portal_wayBillClickTrace_h5":371},home,portal-app,resident_人工调度台,10057611
{"_portal_wayBillClickTrace_h5":362},home,portal-app,resident_人工调度台,10046504
{"_portal_tableListTrace_h5":574},home,portal-app,resident_人工调度台,10060549
{"_portal_tableListTrace_h5":639},home,portal-app,resident_人工调度台,10064203
{"_portal_tableListTrace_h5":132},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":641},home,portal-app,resident_人工调度台,10019417
{"_portal_tableListTrace_h5":585},home,portal-app,resident_人工调度台,10043070
{"_portal_tableListTrace_h5":519},home,portal-app,resident_人工调度台,10064203
{"_portal_tableListTrace_h5":747},home,portal-app,resident_人工调度台,10064203
{"_portal_tableListTrace_h5":494},home,portal-app,resident_人工调度台,10019417
{"_portal_wayBillClickTrace_h5":2433},home,portal-app,resident_人工调度台,10046504
{"_portal_tableListTrace_h5":586},home,portal-app,resident_人工调度台,10064203
{"_portal_tableListTrace_h5":584},home,portal-app,resident_人工调度台,10064203
{"_portal_tableListTrace_h5":508},home,portal-app,resident_人工调度台,10064203
{"_portal_tableListTrace_h5":359},home,portal-app,resident_人工调度台,10062110
{"_portal_tableListTrace_h5":214},home,portal-app,resident_人工调度台,10062110
{"_portal_tableListTrace_h5":651},home,portal-app,resident_人工调度台,10064203
{"_portal_tableListTrace_h5":199},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":551},home,portal-app,resident_人工调度台,10064203
{"_portal_tableListTrace_h5":226},home,portal-app,resident_人工调度台,10062110
{"_portal_tableListTrace_h5":506},home,portal-app,resident_人工调度台,10064203
{"_portal_wayBillClickTrace_h5":411},home,portal-app,resident_人工调度台,10019417
{"_portal_tableListTrace_h5":280},home,portal-app,resident_人工调度台,10062110
{"_portal_wayBillClickTrace_h5":254},home,portal-app,resident_人工调度台,10062110
{"_portal_tableListTrace_h5":489},home,portal-app,resident_人工调度台,10049990
{"_portal_tableListTrace_h5":452},home,portal-app,resident_人工调度台,10062110
{"_portal_wayBillClickTrace_h5":648},home,portal-app,resident_人工调度台,10049696
{"_portal_tableListTrace_h5":539},home,portal-app,resident_人工调度台,10064203
{"_portal_tableListTrace_h5":479},home,portal-app,resident_人工调度台,10054552
{"_portal_tableListTrace_h5":413},home,portal-app,orderDispatch_人工调度台,10053802
{"_portal_makeAssignTrace_h5":1146},home,portal-app,resident_人工调度台,10046504
{"_portal_tableListTrace_h5":229},home,portal-app,resident_人工调度台,10058073
{"_portal_tableListTrace_h5":261},home,portal-app,resident_人工调度台,10058073
{"_portal_tableListTrace_h5":375},home,portal-app,resident_人工调度台,10062110
{"_portal_tableListTrace_h5":439},home,portal-app,resident_人工调度台,10059374
{"_portal_tableListTrace_h5":454},home,portal-app,resident_人工调度台,10064203
{"_portal_tableListTrace_h5":266},home,portal-app,resident_人工调度台,10058073
{"_portal_tableListTrace_h5":269},home,portal-app,resident_人工调度台,10058073
{"_portal_wayBillClickTrace_h5":285},home,portal-app,resident_人工调度台,10046504
{"_portal_tableListTrace_h5":142},home,portal-app,resident_人工调度台,10059375
{"_portal_wayBillClickTrace_h5":409},home,portal-app,resident_人工调度台,10062110
{"_portal_wayBillClickTrace_h5":364},home,portal-app,resident_人工调度台,10064203
{"_portal_tableListTrace_h5":411},home,portal-app,resident_人工调度台,10058073
{"_portal_tableListTrace_h5":1143},home,portal-app,resident_人工调度台,10062468
{"_portal_tableListTrace_h5":616},home,portal-app,resident_人工调度台,10060069
{"_portal_tableListTrace_h5":219},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":370},home,portal-app,resident_人工调度台,10062110
{"_portal_tableListTrace_h5":739},home,portal-app,resident_人工调度台,10059374
{"_portal_tableListTrace_h5":365},home,portal-app,resident_人工调度台,10060069
{"_portal_tableListTrace_h5":413},home,portal-app,resident_人工调度台,10064203
{"_portal_tableListTrace_h5":368},home,portal-app,resident_人工调度台,10058073
{"_portal_tableListTrace_h5":421},home,portal-app,resident_人工调度台,10064203
{"_portal_tableListTrace_h5":681},home,portal-app,resident_人工调度台,10059374
{"_portal_wayBillClickTrace_h5":230},home,portal-app,resident_人工调度台,10043856
{"_portal_tableListTrace_h5":856},home,portal-app,resident_人工调度台,10062468
{"_portal_tableListTrace_h5":177},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":197},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":497},home,portal-app,resident_人工调度台,10058073
{"_portal_tableListTrace_h5":211},home,portal-app,resident_人工调度台,10059375
{"_portal_wayBillClickTrace_h5":285},home,portal-app,resident_人工调度台,10043039
{"_portal_tableListTrace_h5":425},home,portal-app,resident_人工调度台,10058073
{"_portal_tableListTrace_h5":285},home,portal-app,resident_人工调度台,10043039
{"_portal_tableListTrace_h5":393},home,portal-app,resident_人工调度台,10043039
{"_portal_tableListTrace_h5":606},home,portal-app,resident_人工调度台,10063532
{"_portal_tableListTrace_h5":978},home,portal-app,resident_人工调度台,10062468
{"_portal_tableListTrace_h5":222},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":185},home,portal-app,resident_人工调度台,10045619
{"_portal_tableListTrace_h5":355},home,portal-app,resident_人工调度台,10043039
{"_portal_tableListTrace_h5":863},home,portal-app,resident_人工调度台,10064771
{"_portal_tableListTrace_h5":193},home,portal-app,resident_人工调度台,10045619
{"_portal_tableListTrace_h5":187},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":266},home,portal-app,resident_人工调度台,10042368
{"_portal_tableListTrace_h5":537},home,portal-app,resident_人工调度台,10060069
{"_portal_tableListTrace_h5":217},home,portal-app,resident_人工调度台,10045619
{"_portal_wayBillClickTrace_h5":291},home,portal-app,orderDispatch_人工调度台,10060495
{"_portal_makeAssignTrace_h5":937},home,portal-app,resident_人工调度台,10043039
{"_portal_tableListTrace_h5":184},home,portal-app,resident_人工调度台,10045619
{"_portal_tableListTrace_h5":382},home,portal-app,resident_人工调度台,10064771
{"_portal_tableListTrace_h5":133},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":1245},home,portal-app,resident_人工调度台,10064771
{"_portal_tableListTrace_h5":384},home,portal-app,resident_人工调度台,10060069
{"_portal_tableListTrace_h5":225},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":175},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":353},home,portal-app,resident_人工调度台,10064771
{"_portal_tableListTrace_h5":634},home,portal-app,resident_人工调度台,10064771
{"_portal_tableListTrace_h5":169},home,portal-app,resident_人工调度台,10059375
{"_portal_wayBillClickTrace_h5":391},home,portal-app,orderDispatch_人工调度台,10053802
{"_portal_wayBillClickTrace_h5":447},home,portal-app,resident_人工调度台,10042368
{"_portal_tableListTrace_h5":181},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":491},home,portal-app,resident_人工调度台,10063201
{"_portal_tableListTrace_h5":430},home,portal-app,orderDispatch_人工调度台,10053802
{"_portal_tableListTrace_h5":376},home,portal-app,resident_人工调度台,10063201
{"_portal_tableListTrace_h5":658},home,portal-app,resident_人工调度台,10042368
{"_portal_tableListTrace_h5":182},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":214},home,portal-app,resident_人工调度台,10062110
{"_portal_wayBillClickTrace_h5":364},home,portal-app,resident_人工调度台,10063201
{"_portal_tableListTrace_h5":150},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":702},home,portal-app,resident_人工调度台,10058626
{"_portal_tableListTrace_h5":149},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":571},home,portal-app,resident_人工调度台,10048964
{"_portal_tableListTrace_h5":25674},home,portal-app,resident_人工调度台,10052883
{"_portal_wayBillClickTrace_h5":435},home,portal-app,resident_人工调度台,10043039
{"_portal_tableListTrace_h5":639},home,portal-app,resident_人工调度台,10064771
{"_portal_wayBillClickTrace_h5":479},home,portal-app,resident_人工调度台,10045663
{"_portal_tableListTrace_h5":239},home,portal-app,resident_人工调度台,10052883
{"_portal_tableListTrace_h5":185},home,portal-app,resident_人工调度台,10059375
{"_portal_wayBillClickTrace_h5":306},home,portal-app,resident_人工调度台,10060069
{"_portal_tableListTrace_h5":523},home,portal-app,resident_人工调度台,10046504
{"_portal_tableListTrace_h5":1153},home,portal-app,resident_人工调度台,10062468
{"_portal_tableListTrace_h5":406},home,portal-app,resident_人工调度台,10042368
{"_portal_tableListTrace_h5":866},home,portal-app,resident_人工调度台,10042368
{"_portal_tableListTrace_h5":685},home,portal-app,resident_人工调度台,10058626
{"_portal_tableListTrace_h5":764},home,portal-app,resident_人工调度台,10058938
{"_portal_wayBillClickTrace_h5":331},home,portal-app,resident_人工调度台,10064771
{"_portal_tableListTrace_h5":222},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":550},home,portal-app,resident_人工调度台,10064771
{"_portal_tableListTrace_h5":440},home,portal-app,resident_人工调度台,10058626
{"_portal_tableListTrace_h5":347},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":361},home,portal-app,dispatch_人工调度台,10044595
{"_portal_tableListTrace_h5":169},home,portal-app,resident_人工调度台,10059375
{"_portal_tableListTrace_h5":422},home,portal-app,resident_人工调度台,10020913
{"_portal_tableListTrace_h5":355},home,portal-app,resident_人工调度台,10064771
{"_portal_tableListTrace_h5":341},home,portal-app,resident_人工调度台,10064771
