click_par,channel,page_name,create_dt
{"_portal_screenTrace_map":586},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":586},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":494},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":530},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":653},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":594},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":443},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":561},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":609},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":678},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":553},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":592},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":577},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":453},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":368},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":617},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":833},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":583},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":733},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":517},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":517},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":571},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":421},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":540},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":558},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":467},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":557},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":530},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":488},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":641},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":574},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":541},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":520},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":507},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":617},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":506},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":415},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":366},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":549},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":541},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":617},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":575},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":589},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":835},PC-WEB,resident_人工调度台,2022-04-24
{"_portal_screenTrace_map":521},PC-WEB,resident_人工调度台,2022-04-24
